"ID";"NOME";"ESTRELAS";"CURTIDAS";"NIVEL";"TIPO_USUARIO"
32;"bronze";10;3;1;2
33;"bronze";20;10;2;2
34;"bronze";30;15;3;2
35;"prata";40;20;1;2
36;"prata";50;25;2;2
37;"prata";60;30;3;2
38;"ouro";70;35;1;2
39;"ouro";80;40;2;2
40;"ouro";90;45;3;2
41;"diamante ";100;50;1;2
42;"bronze";30;10;1;1
43;"bronze";50;25;2;1
44;"bronze";70;35;3;1
45;"prata";90;45;1;1
46;"prata";110;55;2;1
47;"prata";130;65;3;1
48;"ouro";150;75;1;1
49;"ouro";170;85;2;1
50;"ouro";190;95;3;1
51;"diamante ";210;105;1;1
52;"iniciante";1;1;0;2
53;"iniciante";1;1;0;1
